泉州阳硕鞋材有限公司,,,,,,,,,,300码以下记得开小缸费,,,帆布不够800Y，小缸费500,,,300D粗纹牛津布不足500码开染费,,,
送 货 单,,,,,,,,,,,,,,,,,,,
收货单位：莆田安健致远鞋业限公司,,,,,,NO.：,AH260316,,,,,,,,,,,,
地 址：福建省莆田市荔城区西天尾镇荔园工业区东川路,,,,,,送货日期：,2026-03-08 00:00:00,,,,,,,,,,,,
订单号,型体,品名及规格,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,
ALCPO2603852,Z25075-445-2,"250g 组织布54""",海盐色036-90-02,66,Y,2,,,,AH260304,2026-03-06 00:00:00,,,,,,,,
ALCPO2603852,Z25076-457-1,"250g 组织布54""",海盐色036-90-02,39,Y,,,,,AH260304,2026-03-06 00:00:00,,,,,,,,
ALCPO2604423,Z25075-224-6,"250g 组织布54""",海盐色036-90-02,36,Y,,,,,AH260304,2026-03-06 00:00:00,,,,,,,,
ALCPO2604423,Z25075-224-7,"250g 组织布54""",海盐色036-90-02,5,Y,,,,,AH260304,2026-03-06 00:00:00,,,,,,,,
ALCPO2604486,Z25076-225-6,"250g 组织布54""",海盐色036-90-02,6,Y,,,,,AH260304,2026-03-06 00:00:00,,,,,,,,
,,96+56=152,,,,,,,,AH260304,2026-03-06 00:00:00,,,,,,,,
ALCPO2604423,Z25079-407-1,"250g 组织布54""",米白色036-90-02,44,Y,2,,,,AH260305,2026-03-06 00:00:00,,,,,,,,
ALCPO2604423,Z25079-407-2,"250g 组织布54""",米白色036-90-02,5,Y,,,,,AH260305,2026-03-06 00:00:00,,,,,,,,
ALCPO2604423,Z25079-448-1,"250g 组织布54""",米白色036-90-02,34,Y,,,,,AH260305,2026-03-06 00:00:00,,,,,,,,
ALCPO2604423,Z25078-465-3,"250g 组织布54""",米白色036-90-02,34,Y,,,,,AH260305,2026-03-06 00:00:00,,,,,,,,
ALCPO2604423,Z25078-446-2,"250g 组织布54""",米白色036-90-02,54,Y,,,,,AH260305,2026-03-06 00:00:00,,,,,,,,
,,80+93=173,,,,,,,,AH260305,2026-03-06 00:00:00,,,,,,,,
ALCPO2604132,Z26003-008,"250g 莱卡布54""",米白色11-0103TPG,3,Y,1,,,,AH260305,2026-03-06 00:00:00,,,,,,,,
ALCPO2604132,Z26003-009,"250g 莱卡布54""",米白色11-0103TPG,4,Y,,,,,AH260305,2026-03-06 00:00:00,,,,,,,,
ALCPO2604172,Z26003-009,"250g 莱卡布54""",米白色11-0103TPG,4,Y,,,,,AH260305,2026-03-06 00:00:00,,,,,,,,
ALCPO2603852,Z25072-410-4,"D027纹 250-260g单层网布 54""",黑色139-18-00,21,Y,2,,,,AH260306,2026-03-06 00:00:00,,,,,,,,
ALCPO2604423,Z25072-210-14,"D027纹 250-260g单层网布 54""",黑色139-18-00,37,Y,,,,,AH260306,2026-03-06 00:00:00,,,,,,,,
ALCPO2604423,Z25072-410-7,"D027纹 250-260g单层网布 54""",黑色139-18-00,8,Y,,,,,AH260306,2026-03-06 00:00:00,,,,,,,,
ALCPO2604423,Z25072-416-4,"D027纹 250-260g单层网布 54""",黑色139-18-00,79,Y,,,,,AH260306,2026-03-06 00:00:00,,,,,,,,
,,100+45=145,,,,,,,,AH260306,2026-03-06 00:00:00,,,,,,,,
ALCPO2600443,Z25109-382,"K208 200g 里布 54"" 耐黄",亮白色11-4001TPG,92,Y,1,,,,AH260306,2026-03-06 00:00:00,,,,,,,,
ALCPO2603852,Z25077-230-7,"220-230g 低弹平布 54""",白色109-98-01,3,Y,1,,,,AH260307,2026-03-06 00:00:00,,,,,,,,
ALCPO2604423,Z25077-228-4,"220-230g 低弹平布 54""",白色109-98-01,20,Y,,,,,AH260307,2026-03-06 00:00:00,,,,,,,,
ALCPO2604423,Z25077-230-9,"220-230g 低弹平布 54""",白色109-98-01,16,Y,,,,,AH260307,2026-03-06 00:00:00,,,,,,,,
ALCPO2604486,Z26008-017,"220-230g 低弹平布 54""",白色109-98-01,13,Y,,,,,AH260307,2026-03-06 00:00:00,,,,,,,,
ALCPO2600182,Z25070-373,"180g 低弹平布 54""",白色,205,Y,2,,更换白色,,AH260308,2026-03-08 00:00:00,,,,,,,,
,,110+95=205,,,,,,,,AH260308,2026-03-08 00:00:00,,,,,,,,
ALCPO2604496,Z24084-380-10,"莱卡 54""250g",雪白色11-0602TPG,339,Y,3,,,,AH260308,2026-03-08 00:00:00,,,,,,,,
,,100+130+109=339,,,,,,,,AH260308,2026-03-08 00:00:00,,,,,,,,
,Z25015-401,"莱卡布54""",灰青綠16-0518TPG,6,Y,1,,,,AH260308,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25102-439-2,"佳积布230G54""",白色109-98-01,18,Y,1,,,,AH260308,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25102-439-1,"佳积布230G54""",白色109-98-01,40,Y,,,,,AH260308,2026-03-08 00:00:00,,,,,,,,
,,,,,,,,,,AH260308,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25072-410-4,"D027纹 250-260g单层网布 54""",柠绿色064-84-51,24,Y,1,,,,AH260309,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25072-410-7,"D027纹 250-260g单层网布 54""",柠绿色064-84-51,9,Y,,,,,AH260309,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25077-231-6,"DJ132 240g POLYPAG单层网布 54""",黑色139-18-00,3,Y,1,,,,AH260309,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25077-229-3,"DJ132 240g POLYPAG单层网布 54""",黑色139-18-00,20,Y,,,,,AH260309,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25077-231-8,"DJ132 240g POLYPAG单层网布 54""",黑色139-18-00,36,Y,,,,,AH260309,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z24109-517-4,"DJ 132/有光K184纹 240g 单层网布 54""",黑色139-18-00,14,Y,1,,,,AH260309,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25072-418-4,"佳积布 54""250g",传统绿059-40-11,186,Y,2,,,,AH260309,2026-03-08 00:00:00,,,,,,,,
,,104+82=186,,,,,,,,AH260309,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25073-453-2,"250g 加密真美布54""",白色109-98-01,277,Y,6,,,,AH260310,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25073-463-2,"250g 加密真美布54""",白色109-98-01,114,Y,,,,,AH260310,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25073-453-4,"250g 加密真美布54""",白色109-98-01,194,Y,,,,,AH260310,2026-03-08 00:00:00,,,,,,,,
,,97*2+99*2+95+98=585,,,,,,,,AH260310,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25073-459-2,"250g 加密真美布54""",淡咖色014-47-06,46,Y,1,,,,AH260310,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25073-458-2,"250g 加密真美布54""",海盐色036-90-02,94,Y,3,,,,AH260310,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25073-459-2,"250g 加密真美布54""",海盐色036-90-02,146,Y,,,,,AH260310,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25073-459-3,"250g 加密真美布54""",海盐色036-90-02,36,Y,,,,,AH260310,2026-03-08 00:00:00,,,,,,,,
,,100*2+76=276,,,,,,,,AH260310,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25073-458-2,"250g 加密真美布54""",清风蓝099-73-02,180,Y,4,,,,AH260311,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25073-463-2,"250g 加密真美布54""",清风蓝099-73-02,219,Y,,,,,AH260311,2026-03-08 00:00:00,,,,,,,,
,,102+98+97+104=401,,,,,,,,AH260311,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25073-453-2,"250g 加密真美布54""",碳素黑155-31-00,530,Y,6,,,,AH260311,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25073-453-4,"250g 加密真美布54""",碳素黑155-31-00,25,Y,,,,,AH260311,2026-03-08 00:00:00,,,,,,,,
,,98*2+99+100+91+69=555,,,,,,,,AH260311,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25072-413-3,"佳积布 54""250g",表情粉154-77-21,15,Y,1,,,,AH260311,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25072-413-3,"佳积布 54""250g",雾蓝色126-50-07,35,Y,1,,,,AH260311,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25072-455-2,"佳积布 54""250g",淡红色016-50-19,35,Y,1,,,,AH260312,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25072-455-5,"佳积布 54""250g",淡红色016-50-19,19,Y,,,,,AH260312,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25072-410-4,"佳积布 54""250g",黑色139-18-00,103,Y,4,,,,AH260312,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25072-210-14,"佳积布 54""250g",黑色139-18-00,152,Y,,,,,AH260312,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25072-410-7,"佳积布 54""250g",黑色139-18-00,37,Y,,,,,AH260312,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25072-411-6,"佳积布 54""250g",黑色139-18-00,37,Y,,,,,AH260312,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25072-418-4,"佳积布 54""250g",黑色139-18-00,39,Y,,,,,AH260312,2026-03-08 00:00:00,,,,,,,,
,,105*2+104+57=371,,,,,,,,AH260312,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z24108-492-14,"佳积布 54""250g",灰黑色19-0303TPX,16,Y,3,,,,AH260313,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z24108-492-13,"佳积布 54""250g",灰黑色19-0303TPX,228,Y,,,,,AH260313,2026-03-08 00:00:00,,,,,,,,
,,110*2+24=244,,,,,,,,AH260313,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25072-412-6,"佳积布 54""250g",蓝色126-21-11,268,Y,5,,,,AH260313,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25072-417-2,"佳积布 54""250g",蓝色126-21-11,232,Y,,,,,AH260313,2026-03-08 00:00:00,,,,,,,,
,,102*3+100*2=506（多6Y),,,,,,,,AH260313,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25072-455-2,"佳积布 54""250g",米黄038-90-04,81,Y,2,,,,AH260313,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25072-455-5,"佳积布 54""250g",米黄038-90-04,45,Y,,,,,AH260313,2026-03-08 00:00:00,,,,,,,,
,,103+23=126,,,,,,,,AH260313,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25079-408-1,"354纹单层网 耐黄280-290g  54""",白色109-98-01,6,Y,,,,,AH260314,2026-03-08 00:00:00,,,,,,,,
ALCPO2603852,Z25073-463-2,"354纹单层网 耐黄280-290g  54""",白色109-98-01,70,Y,,,,,AH260314,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25073-426-4,"354纹单层网 耐黄280-290g  54""",白色109-98-01,75,Y,,,,,AH260314,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25073-424-4,"354纹单层网 耐黄280-290g  54""",白色109-98-01,23,Y,,,,,AH260314,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25076-307-1,"354纹单层网 耐黄280-290g  54""",白色109-98-01,20,Y,,,,,AH260314,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25076-307-2,"354纹单层网 耐黄280-290g  54""",白色109-98-01,11,Y,,,,,AH260314,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25079-408-3,"354纹单层网 耐黄280-290g  54""",白色109-98-01,17,Y,,,,,AH260314,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25078-409-2,"354纹单层网 耐黄280-290g  54""",白色109-98-01,32,Y,,,,,AH260314,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25073-218-10,"354纹单层网 耐黄280-290g  54""",白色109-98-01,14,Y,,,,,AH260315,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25073-425-4,"354纹单层网 耐黄280-290g  54""",白色109-98-01,47,Y,,,,,AH260315,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25073-217-9,"354纹单层网 耐黄280-290g  54""",白色109-98-01,19,Y,,,,,AH260315,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25073-217-10,"354纹单层网 耐黄280-290g  54""",白色109-98-01,9,Y,,,,,AH260315,2026-03-08 00:00:00,,,,,,,,
ALCPO2604423,Z25073-218-9,"354纹单层网 耐黄280-290g  54""",白色109-98-01,508,Y,9,,,,AH260315,2026-03-08 00:00:00,,,,,,,,
,,6*100+97+92+62=851,,,,,,,,AH260315,2026-03-08 00:00:00,,,,,,,,
ALCPO2604548,Z24084-380-10,"佳绩布 54""80g",白色11-0601TPG,103,Y,3,,,,AH260316,2026-03-08 00:00:00,,,,,,,,
ALCPO2604548,Z24021-040-11,"佳绩布 54""80g",白色11-0601TPG,368,Y,,,,,AH260316,2026-03-08 00:00:00,,,,,,,,
,,225*2+21=471,,,,,,,,AH260316,2026-03-08 00:00:00,,,,,,,,
ALCPO2604486,Z26012-024,"佳积布 54"" 200g",黑色,55,Y,1,,,,AH260316,2026-03-08 00:00:00,,,,,,,,
ALCPO2604496,Z24021-040-11,"YSK055纹 单层网布 54""",白色11-0601TPG,368,Y,5,,,,AH260316,2026-03-08 00:00:00,,,,,,,,
,,80*4+54=374（多6Y),,,,,,,,AH260316,2026-03-08 00:00:00,,,,,,,,
合   计,,,,894,Y,9,,,,,,,,,,,,,
注：我司仅对未开裁材料负责，已开裁材料经我司书面同意除外，其它概不负责。,,,,,,,,,,AH260316,2026-03-08 00:00:00,,,,,,,,
收货单位签章：,,,,,,,送货单位签章：戴春莲,,,,,,,,,,,,
第一联：存根(白)       第二联：客户(红)       第三联：请款(蓝)        第四联：仓库(黄),,,,,,,,,,,,,,,,,,,
300码以下记得开小缸费,,,,,,,,,,,,,,,,,,,
