泉州阳硕鞋材有限公司,,,,,,,,,,,,,,,
2026年01月份请款明细,,,,,,,,,,,,,,,
TO：,安迪星（福建）体育用品有限责任公司,,,,,,,,,,,,,,
ATTN：高小姐,,,,,,,,,,,币别:人民币,,,,
日 期,送货单号,订单号,指令,型体,物料编号,刀模,品名及规格,颜色,数量,单位,支数,单价  (RMB),小缸费,金额(元),备注
2026-01-12 00:00:00,FLDH260125,PA251227026,K250032,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,27.2,码,,6.8,,184.96,
2026-01-12 00:00:00,FLDH260125,PA251227026,K250033,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,8,码,,6.8,,54.4,
2026-01-12 00:00:00,FLDH260125,PA251227026,K250034,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,18.8,码,,6.8,,127.84,
2026-01-12 00:00:00,FLDH260126,PA251227026,K250035,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,13.4,码,,6.8,,91.12,
2026-01-12 00:00:00,FLDH260126,PA251227026,K250056,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,15.7,码,,6.8,,106.76,
2026-01-12 00:00:00,FLDH260126,PA251227026,K250057,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,10.5,码,,6.8,,71.4,
2026-01-12 00:00:00,FLDH260126,PA251227026,K250058,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,4.2,码,,6.8,,28.56,
2026-01-12 00:00:00,FLDH260126,PA251227026,K250059,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,31.2,码,,6.8,,212.16,
2026-01-12 00:00:00,FLDH260127,PA251227026,K250073,382M32W-A02,C0504095,AS26006M,"K328单层网布240g 54""",米白11-4801TPG,8,码,,6.8,,54.4,
2026-01-12 00:00:00,FLDH260127,PA251227026,K250074,382M32W-A02,C0504095,AS26006M,"K328单层网布240g 54""",米白11-4801TPG,13.7,码,,6.8,,93.16,
2026-01-12 00:00:00,FLDH260127,PA251227026,K250075,382M32W-A02,C0504095,AS26006M,"K328单层网布240g 54""",米白11-4801TPG,6.4,码,,6.8,,43.52,
2026-01-12 00:00:00,FLDH260127,PA251227026,K250076,382M32W-A02,C0504095,AS26006M,"K328单层网布240g 54""",米白11-4801TPG,31.2,码,,6.8,,212.16,
2026-01-12 00:00:00,FLDH260127,PA260106024,K260001,382M33W-A02,C0504095,AS26005M,"K328单层网布240g 54""",米白11-4801TPG,2.5,码,,6.8,,17,
2026-01-12 00:00:00,FLDH260128,PA260106024,K260002,382M31W-A02,C0504095,AS26004M,"K328单层网布240g 54""",米白11-4801TPG,4.2,码,,6.8,300,328.56,
2026-01-12 00:00:00,FLDH260129,PA251217013,K250001,332D65W-A1K,C0300152,KS-26102K,"600D尼龙牛津布上防脱纱 58""",黄色16-1144TPG,69.2,码,,16,,1107.2,
2026-01-12 00:00:00,FLDH260129,PA251217013,K250002,36294EW-A06,C0300152,KS-26102W,"600D尼龙牛津布上防脱纱 58""",黄色16-1144TPG,52.3,码,,16,,836.8,
2026-01-12 00:00:00,FLDH260129,PA251227027,PPS0002,332D65W-A1K,C0300152,AS26011K-B,"600D尼龙牛津布上防脱纱 58""",黄色16-1144TPG,0.1,码,,16,,1.6,
2026-01-12 00:00:00,FLDH260129,PA251227027,PPS0005,36294EW-A06,C0300152,AS26011W-B,"600D尼龙牛津布上防脱纱 58""",黄色16-1144TPG,0.9,码,,16,600,614.4,
