泉州阳硕鞋材有限公司,,,,,,,,,,,,,,
2026年01月份请款明细（大货）,,,,,,,,,,,,,,
TO：福建安恒致远鞋业有限公司,,,,,,,,,,,,,,
ATTN：李小姐,,,CC：财务,,,,,,,,币别:人民币,,,
行号,"交货 
日期",货单号,订购单号,形体号,产品名称,规格型号,辅助属性,加工,数量,单位,含税 单价,小缸费,总金额,备注
663,2026-01-25 00:00:00,AH2601103,AHJPO2603689,Z25270-3,佳绩布,"54""220g",珊瑚绿7722C,全代,22,Y,5,,110,
664,2026-01-25 00:00:00,AH2601103,AHJPO2603689,Z25272-2,佳绩布,"54""220g",珊瑚绿7722C,全代,10,Y,5,,50,
665,2026-01-25 00:00:00,AH2601103,AHJPO2603689,Z25273-2,佳绩布,"54""220g",珊瑚绿7722C,全代,10,Y,5,,50,
666,2026-01-25 00:00:00,AH2601103,AHJPO2603689,Z25265-3,佳绩布,"54""220g",珊瑚绿7722C,全代,13,Y,5,,65,
667,2026-01-25 00:00:00,AH2601103,AHJPO2604126,Z25261W-1,佳绩布,"54""220g",珊瑚绿7722C,全代,22,Y,5,,110,
668,2026-01-25 00:00:00,AH2601103,AHJPO2604126,Z25262W-1,佳绩布,"54""220g",珊瑚绿7722C,全代,22,Y,5,200,310,
669,2026-01-26 00:00:00,AH2601104,AHJPO2602174,Z26279-1,CL24121三明治网布,"54""430g",橄榄绿044-36-10,全代,100,Y,13.5,,1350,
670,2026-01-26 00:00:00,AH2601104,AHJPO2602174,Z26279-1open,CL24121三明治网布,"54""430g",橄榄绿044-36-10,全代,5,Y,13.5,,67.5,
671,2026-01-26 00:00:00,AH2601104,AHJPO2602174,Z26281-1,CL24121三明治网布,"54""430g",橄榄绿044-36-10,全代,110,Y,13.5,,1485,
672,2026-01-26 00:00:00,AH2601104,AHJPO2602174,Z26279-1,CL24100三明治网布,"54"" 400g",橄榄绿044-36-10,全代,63,Y,16.5,,1039.5,
673,2026-01-26 00:00:00,AH2601104,AHJPO2602174,Z26279-1open,CL24100三明治网布,"54"" 400g",橄榄绿044-36-10,全代,4,Y,16.5,,66,
674,2026-01-26 00:00:00,AH2601104,AHJPO2602174,Z26281-1,CL24100三明治网布,"54"" 400g",橄榄绿044-36-10,全代,69,Y,16.5,,1138.5,
675,2026-01-26 00:00:00,AH2601104,AHJPO2604277,Z26246-1,条纹三明治网布,"54""",黑色139-18-00,全代,89,Y,16,,1424,
676,2026-01-26 00:00:00,AH2601105,AHJPO2602163,Z26237-1,YS571 单层网布,"530g 54""",朦胧绿051-61-04,全代,61,Y,16,,976,
677,2026-01-26 00:00:00,AH2601105,AHJPO2602163,Z26237-1open,YS571 单层网布,"530g 54""",朦胧绿051-61-04,全代,4,Y,16,,64,
678,2026-01-26 00:00:00,AH2601105,AHJPO2602163,Z26237-2,YS571 单层网布,"530g 54""",朦胧绿051-61-04,全代,41,Y,16,,656,
679,2026-01-26 00:00:00,AH2601105,AHJPO2604277,Z26237-3,YS571 单层网布,"530g 54""",朦胧绿051-61-04,全代,34,Y,16,,544,
680,2026-01-26 00:00:00,AH2601105,AHJPO2602163,Z26249-1,YY5983纹三明治网布,"54"" 380g",海盐色036-90-02,全代,24,Y,13.8,,331.2,
681,2026-01-26 00:00:00,AH2601105,AHJPO2602163,Z26249-1open,YY5983纹三明治网布,"54"" 380g",海盐色036-90-02,全代,2,Y,13.8,,27.6,
682,2026-01-26 00:00:00,AH2601105,AHJPO2604277,Z26246-1,丝光布,"180g 54""",黑色,全代,5,Y,3.3,,16.5,
683,2026-01-26 00:00:00,AH2601106,AHJPO2603088,ZY25368-4,CK网布,"54"" 230g",黑色,全代,145,Y,4.8,,696,
684,2026-01-26 00:00:00,AH2601106,AHJPO2603088,ZY25369-2,CK网布,"54"" 230g",黑色,全代,99,Y,4.8,,475.2,
685,2026-01-26 00:00:00,AH2601106,AHJPO2603088,ZY25370-5,CK网布,"54"" 230g",黑色,全代,98,Y,4.8,,470.4,
686,2026-01-26 00:00:00,AH2601106,AHJPO2603088,ZY25371-2,CK网布,"54"" 230g",黑色,全代,145,Y,4.8,,696,
687,2026-01-26 00:00:00,AH2601106,AHJPO2603088,ZY26303-1,CK网布,"54"" 230g",黑色,全代,48,Y,4.8,,230.4,
688,2026-01-26 00:00:00,AH2601106,AHJPO2603088,ZY26304-1,CK网布,"54"" 230g",黑色,全代,60,Y,4.8,,288,
689,2026-01-26 00:00:00,AH2601106,AHJPO2601437,ZY26205-1,CK网布,"54"" 230g",黑色,全代,68,Y,4.8,,326.4,
690,2026-01-26 00:00:00,AH2601106,AHJPO2608850,ZY25371-3,CK网布,"54"" 230g",黑色,全代,65,Y,4.8,,312,
691,2026-01-26 00:00:00,AH2601107,AHJPO2601821,Z25548-14,YSK2360纹双心三层网,"59"" 400g",黑色139-18-00,全代,235,Y,16.5,,3877.5,
692,2026-01-26 00:00:00,AH2601107,AHJPO2601821,Z26091-5,YSK2360纹双心三层网,"59"" 400g",黑色139-18-00,全代,37,Y,16.5,,610.5,
693,2026-01-26 00:00:00,AH2601107,AHJPO2608681,Z25548-15,YSK2360纹双心三层网,"59"" 400g",黑色139-18-00,全代,155,Y,16.5,,2557.5,
694,2026-01-26 00:00:00,AH2601107,AHJPO2608681,Z25017-21,YSK2360纹双心三层网,"59"" 400g",黑色139-18-00,全代,153,Y,16.5,,2524.5,
695,2026-01-26 00:00:00,AH2601107,AHJPO2608681,Z26091-6,YSK2360纹双心三层网,"59"" 400g",黑色139-18-00,全代,73,Y,16.5,,1204.5,
696,2026-01-26 00:00:00,AH2601107,AHJPO2608681,Z25017-19,YSK2360纹双心三层网,"59"" 400g",黑色139-18-00,全代,34,Y,16.5,,561,
697,2026-01-26 00:00:00,AH2601107,AHJPO2608681,Z25548-13,YSK2360纹双心三层网,"59"" 400g",黑色139-18-00,全代,30,Y,16.5,,495,
698,2026-01-26 00:00:00,AH2601108,AHJPO2602163,Z26276-1,LY-YG1190网布,"54""",暗淡蓝126-34-11,全代,58,Y,5.6,,324.8,
699,2026-01-26 00:00:00,AH2601108,AHJPO2608681,Z26276-2,LY-YG1190网布,"54""",暗淡蓝126-34-11,全代,16,Y,5.6,,89.6,
700,2026-01-26 00:00:00,AH2601108,AHJPO2608681,Z26277-2美线,CL24100 三明治网布,"54""430g",暗黑色139-18-00,全代,92,Y,16.5,,1518,
701,2026-01-26 00:00:00,AH2601108,AHJPO2608704,Z26208-1,CL24100 三明治网布,"54""430g",暗黑色139-18-00,全代,1,Y,16.5,,16.5,
702,2026-01-26 00:00:00,AH2601108,AHJPO2608681,Z26133-6,CL24121 三明治网布,"54""430g",表情粉154-77-21,全代,18,Y,13.5,,243,
703,2026-01-26 00:00:00,AH2601108,AHJPO2608681,Z26133-4,CL24121 三明治网布,"54""430g",表情粉154-77-21,全代,28,Y,13.5,,378,
704,2026-01-26 00:00:00,AH2601108,AHJPO2608681,Z26143-2,CL24121 三明治网布,"54""430g",表情粉154-77-21,全代,20,Y,13.5,,270,
705,2026-01-26 00:00:00,AH2601109,AHJPO2608681,Z26140-3,CL24100 三明治网布,"54""400g",蓝色ADWW,全代,41,Y,16.5,,676.5,
706,2026-01-26 00:00:00,AH2601109,AHJPO2602163,Z26295-1,丝光布,"180g 54""",白色,全代,108,Y,3.3,,356.4,
707,2026-01-26 00:00:00,AH2601109,AHJPO2608681,Z26295-2,丝光布,"180g 54""",白色,全代,24,Y,3.3,,79.2,
708,2026-01-26 00:00:00,AH2601109,AHJPO2601821,Z26178-3,DJ132单层网布,"54""  240g",灰色000-73-00,全代,17,Y,6,,102,
709,2026-01-26 00:00:00,AH2601109,AHJPO2601821,Z26178-4,DJ132单层网布,"54""  240g",灰色000-73-00,全代,29,Y,6,,174,
710,2026-01-26 00:00:00,AH2601109,AHJPO2608681,Z26178-5,DJ132单层网布,"54""  240g",灰色000-73-00,全代,7,Y,6,,42,
711,2026-01-26 00:00:00,AH2601109,AHJPO2601437,ZY26205-1,佳积布,"180g 54""",黑色,全代,69,Y,3.9,,269.1,
712,2026-01-26 00:00:00,AH2601109,AHJPO2608076,ZY25961-2,佳积布,"180g 54""",黑色,全代,35,Y,3.9,,136.5,
713,2026-01-26 00:00:00,AH2601109,AHJPO2608076,ZY25961-2open,佳积布,"180g 54""",黑色,全代,2,Y,3.9,,7.8,
714,2026-01-26 00:00:00,AH2601110,AHJPO2608681,Z25001-20,XF8021纹三明治网布,"54"" 350g/Y",黑色139-18-00,全代,37,Y,9.5,,351.5,
715,2026-01-26 00:00:00,AH2601110,AHJPO2601890,Z26133-5,CL24100三明治网布,"54"" 400g",表情粉154-77-21,全代,191,Y,16.5,,3151.5,
716,2026-01-26 00:00:00,AH2601110,AHJPO2604146,Z26204-1,CL24100三明治网布,"54"" 400g",表情粉154-77-21,全代,28,Y,16.5,,462,
717,2026-01-26 00:00:00,AH2601110,AHJPO2608681,Z26133-6,CL24100三明治网布,"54"" 400g",表情粉154-77-21,全代,12,Y,16.5,,198,
718,2026-01-26 00:00:00,AH2601110,AHJPO2608681,Z26133-4,CL24100三明治网布,"54"" 400g",表情粉154-77-21,全代,18,Y,16.5,,297,
719,2026-01-26 00:00:00,AH2601110,AHJPO2608681,Z26143-2,CL24100三明治网布,"54"" 400g",表情粉154-77-21,全代,12,Y,16.5,,198,
720,2026-01-27 00:00:00,AH2601111,AHJPO2602155,Z26234-1open,YS571单层网布,"530g 54""",咖色008-27-06,全代,2,Y,16,,32,
721,2026-01-27 00:00:00,AH2601111,AHJPO2602155,Z26234-1,YS571单层网布,"530g 54""",咖色008-27-06,全代,35,Y,16,,560,
722,2026-01-27 00:00:00,AH2601111,AHJPO2602163,Z26235-1,YS571单层网布,"530g 54""",咖色008-27-06,全代,68,Y,16,,1088,
723,2026-01-27 00:00:00,AH2601111,AHJPO2602163,Z26235-2,YS571单层网布,"530g 54""",咖色008-27-06,全代,29,Y,16,,464,
724,2026-01-27 00:00:00,AH2601111,AHJPO2602163,Z26234-1,YS571单层网布,"530g 54""",咖色008-27-06,全代,1,Y,16,,16,
725,2026-01-27 00:00:00,AH2601111,AHJPO2608681,Z26234-2,YS571单层网布,"530g 54""",咖色008-27-06,全代,2,Y,16,,32,
726,2026-01-27 00:00:00,AH2601111,AHJPO2608681,Z26234-2,YS571单层网布,"530g 54""",咖色008-27-06,全代,12,Y,16,,192,
727,2026-01-27 00:00:00,AH2601112,AHJPO2602155,Z26234-1open,YS5908小圆孔三明治网布,380g 54“,咖色008-27-06,全代,1,Y,12.5,,12.5,
728,2026-01-27 00:00:00,AH2601112,AHJPO2602155,Z26234-1,YS5908小圆孔三明治网布,380g 54“,咖色008-27-06,全代,14,Y,12.5,,175,
729,2026-01-27 00:00:00,AH2601112,AHJPO2602163,Z26235-1,YS5908小圆孔三明治网布,380g 54“,咖色008-27-06,全代,37,Y,12.5,,462.5,
730,2026-01-27 00:00:00,AH2601112,AHJPO2602163,Z26235-2,YS5908小圆孔三明治网布,380g 54“,咖色008-27-06,全代,16,Y,12.5,,200,
731,2026-01-27 00:00:00,AH2601112,AHJPO2602163,Z26234-1,YS5908小圆孔三明治网布,380g 54“,咖色008-27-06,全代,1,Y,12.5,,12.5,
732,2026-01-27 00:00:00,AH2601112,AHJPO2608681,Z26234-2,YS5908小圆孔三明治网布,380g 54“,咖色008-27-06,全代,1,Y,12.5,,12.5,
733,2026-01-27 00:00:00,AH2601112,AHJPO2608681,Z26234-2,YS5908小圆孔三明治网布,380g 54“,咖色008-27-06,全代,36,Y,12.5,,450,
734,2026-01-27 00:00:00,AH2601112,AHJPO2608681,Z26234-2open,YS5908小圆孔三明治网布,380g 54“,咖色008-27-06,全代,2,Y,12.5,,25,
735,2026-01-27 00:00:00,AH2601113,AHJPO2602153,Z26259-1,镂空圆孔YS0391纹单层网布,"54""310-320g",新灰2/中灰049-65-00,全代,157,Y,9.8,,1538.6,
736,2026-01-27 00:00:00,AH2601113,AHJPO2602153,Z26259-1open,镂空圆孔YS0391纹单层网布,"54""310-320g",新灰2/中灰049-65-00,全代,8,Y,9.8,,78.4,
737,2026-01-27 00:00:00,AH2601113,AHJPO2608681,Z26259-2,镂空圆孔YS0391纹单层网布,"54""310-320g",新灰2/中灰049-65-00,全代,53,Y,9.8,,519.4,
738,2026-01-27 00:00:00,AH2601113,AHJPO2602153,Z26251-1open,镂空圆孔YS0391纹单层网布,"54""310-320g",大胆紫128-27-24,全代,3,Y,9.8,,29.4,
739,2026-01-27 00:00:00,AH2601113,AHJPO2602153,Z26251-1,镂空圆孔YS0391纹单层网布,"54""310-320g",大胆紫128-27-24,全代,53,Y,9.8,,519.4,
740,2026-01-27 00:00:00,AH2601113,AHJPO2608681,Z26251-2,镂空圆孔YS0391纹单层网布,"54""310-320g",大胆紫128-27-24,全代,85,Y,9.8,,833,
741,2026-01-27 00:00:00,AH2601114,AHJPO2608681,Z26169-4,YS5908纹三明治网布,"380G*54""",黑色139-18-00,全代,52,Y,12.5,,650,
742,2026-01-27 00:00:00,AH2601114,AHJPO2608681,Z25569-8,YS5908纹三明治网布,"380G*54""",黑色139-18-00,全代,105,Y,12.5,,1312.5,
743,2026-01-27 00:00:00,AH2601114,AHJPO2609621,Z25296-3,YS5908纹三明治网布,"380G*54""",黑色 139-18-00,全代,10,Y,12.5,,125,
744,2026-01-27 00:00:00,AH2601114,AHJPO2608681,Z26095-5,YSK2360纹双心三层网,"400g* 59""",海盐色036-90-02,全代,60,Y,16.5,,990,
745,2026-01-27 00:00:00,AH2601114,AHJPO2601821,Z26096-4,YS571 单层网布,"530g 54""",橄榄绿044-36-10,全代,189,Y,16,,3024,
746,2026-01-27 00:00:00,AH2601114,AHJPO2608681,Z26096-3,YS571 单层网布,"530g 54""",橄榄绿044-36-10,全代,102,Y,16,,1632,
747,2026-01-28 00:00:00,AH2601115,AHJPO2608681,Z26248-2,YY5983纹 三明治网布,"380g 54""",白色109-98-01,全代,8,Y,13.8,,110.4,
748,2026-01-28 00:00:00,AH2601115,AHJPO2608681,Z26142-5,CL24100 三明治网布,"54""400g",竞争红014-48-36,全代,24,Y,16.5,,396,
749,2026-01-28 00:00:00,AH2601115,AHJPO2608681,Z26142-6美线,CL24100 三明治网布,"54""400g",竞争红014-48-36,全代,44,Y,16.5,,726,
750,2026-01-28 00:00:00,AH2601115,AHJPO2608681,Z26134-6,CL24100 三明治网布,"54""400g",竞争红014-48-36,全代,23,Y,16.5,,379.5,
751,2026-01-28 00:00:00,AH2601115,AHJPO2608681,Z26134-7美线,CL24100 三明治网布,"54""400g",竞争红014-48-36,全代,95,Y,16.5,,1567.5,
752,2026-01-28 00:00:00,AH2601115,AHJPO2608681,Z26134-3,CL24100 三明治网布,"54""400g",竞争红014-48-36,全代,20,Y,16.5,,330,
753,2026-01-28 00:00:00,AH2601116,AHJPO2609685,ZY26721-1,佳积布,"180g 54""",米色,全代,18,Y,3.9,,70.2,
754,2026-01-28 00:00:00,AH2601116,AHJPO2609685,ZY26721W-1,佳积布,"180g 54""",米色,全代,14,Y,3.9,,54.6,
755,2026-01-28 00:00:00,AH2601116,AHJPO2609685,ZY26721-2,佳积布,"180g 54""",米色,全代,29,Y,3.9,,113.1,
756,2026-01-28 00:00:00,AH2601116,AHJPO2609685,ZY26721-1open,佳积布,"180g 54""",米色,全代,1,Y,3.9,,3.9,
757,2026-01-28 00:00:00,AH2601116,AHJPO2609685,ZY26721-2open,佳积布,"180g 54""",米色,全代,2,Y,3.9,,7.8,
758,2026-01-28 00:00:00,AH2601116,AHJPO2609685,ZY26726-1,佳积布耐黄,"180g 54""",白色,全代,25,Y,3.9,,97.5,
759,2026-01-28 00:00:00,AH2601116,AHJPO2609685,ZY26726W-1,佳积布耐黄,"180g 54""",白色,全代,13,Y,3.9,,50.7,
760,2026-01-28 00:00:00,AH2601117,AHJPO2601821,Z26093-4,YSK2360纹 双心三层网,"400g* 59""",白色109-98-01,全代,79,Y,16.5,,1303.5,
761,2026-01-28 00:00:00,AH2601117,AHJPO2601821,Z26094-3,YSK2360纹 双心三层网,"400g* 59""",白色109-98-01,全代,124,Y,16.5,,2046,
762,2026-01-28 00:00:00,AH2601117,AHJPO2608681,Z26093-3,YSK2360纹 双心三层网,"400g* 59""",白色109-98-01,全代,29,Y,16.5,,478.5,
763,2026-01-28 00:00:00,AH2601117,AHJPO2608681,Z26094-2,YSK2360纹 双心三层网,"400g* 59""",白色109-98-01,全代,11,Y,16.5,,181.5,
764,2026-01-28 00:00:00,AH2601117,AHJPO2608681,Z26093-5,YSK2360纹 双心三层网,"400g* 59""",白色109-98-01,全代,19,Y,16.5,,313.5,
765,2026-01-28 00:00:00,AH2601117,AHJPO2608681,Z26094-4,YSK2360纹 双心三层网,"400g* 59""",白色109-98-01,全代,24,Y,16.5,,396,
766,2026-01-28 00:00:00,AH2601118,AHJPO2608681,Z26270-2,354纹 单层网耐黄,"280-290g  54""",白色109-98-01,全代,10,Y,9,,90,
767,2026-01-28 00:00:00,AH2601118,AHJPO2604277,Z25655-6,354纹 单层网,"280-290g  54""",黑色139-18-00,全代,153,Y,9,,1377,
768,2026-01-28 00:00:00,AH2601118,AHJPO2602153,Z26252-1open,YSK2360纹 双心三层网,"400g* 59""",怀旧白038-90-04,全代,6,Y,16.5,,99,
769,2026-01-28 00:00:00,AH2601118,AHJPO2602153,Z26252-1,YSK2360纹 双心三层网,"400g* 59""",怀旧白038-90-04,全代,101,Y,16.5,,1666.5,
770,2026-01-28 00:00:00,AH2601118,AHJPO2608681,Z26252-2,YSK2360纹 双心三层网,"400g* 59""",怀旧白038-90-04,全代,90,Y,16.5,,1485,
771,2026-01-28 00:00:00,AH2601119,AHJPO2601821,Z26112-3,DJ132/有光K184 单层网布,"240g 54""",怀旧白038-90-04/米黄,全代,15,Y,6,,90,
772,2026-01-28 00:00:00,AH2601119,AHJPO2602163,Z26243-1同26112,DJ132/有光K184 单层网布,"240g 54""",怀旧白038-90-04/米黄,全代,39,Y,6,,234,
773,2026-01-28 00:00:00,AH2601119,AHJPO2601821,Z26091-5,镂空圆孔YS0391纹 单层网布,"310-320g *54""",雾霾蓝126-50-07,全代,295,Y,9.8,,2891,
774,2026-01-28 00:00:00,AH2601119,AHJPO2608681,Z26091-6,镂空圆孔YS0391纹 单层网布,"310-320g *54""",雾霾蓝126-50-07,全代,61,Y,9.8,,597.8,
775,2026-01-28 00:00:00,AH2601119,AHJPO2602155,Z26270-1open,DJT1834纹 单层网布,"54 """,米黄038-90-04,全代,3,Y,4.3,,12.9,
776,2026-01-28 00:00:00,AH2601119,AHJPO2602155,Z26270-1,DJT1834纹 单层网布,"54 """,米黄038-90-04,全代,41,Y,4.3,,176.3,
777,2026-01-28 00:00:00,AH2601119,AHJPO2608681,Z26270-2,DJT1834纹 单层网布,"54 """,米黄038-90-04,全代,29,Y,4.3,,124.7,
778,2026-01-28 00:00:00,AH2601120,AHJPO2604146,Z26287-1,FMD-F2-066 格子布,"54""",海盗黑155-31-00,全代,5,Y,15,,75,
779,2026-01-28 00:00:00,AH2601120,AHJPO2604146,Z26287-2,FMD-F2-066 格子布,"54""",海盗黑155-31-00,全代,2,Y,15,600,630,
780,2026-01-28 00:00:00,AH2601120,AHJPO2581105,ZY26087-1,K273 /CL24075 单层网布,"300*54""",咖啡色028-24-06,全代,10,Y,14,300,440,
781,2026-01-28 00:00:00,AH2601120,AHJPO2581105,ZY26087-1open,K273 /CL24075 单层网布,"300*54""",咖啡色028-24-06,全代,1,Y,14,,14,
782,2026-01-28 00:00:00,AH2601121,AHJPO2608743,ZRD260134-1,YS5908纹小圆孔三明治,"54"" 380g",油灰色024-51-06,全代,1,Y,12.5,,12.5,
783,2026-01-28 00:00:00,AH2601121,AHJPO2608743,ZRD260137-1,YS5908纹小圆孔三明治,"54"" 380g",运动米色035-73-04,全代,1,Y,12.5,,12.5,
784,2026-01-28 00:00:00,AH2601121,AHJPO2608743,ZRD260139-1,YS5908纹小圆孔三明治,"54"" 380g",运动米色035-73-04,全代,2,Y,12.5,,25,
785,2026-01-28 00:00:00,AH2601121,AHJPO2608743,ZRD260141-1,YS5908纹小圆孔三明治,"54"" 380g",平和灰053-57-03,全代,2,Y,12.5,,25,
786,2026-01-28 00:00:00,AH2601121,AHJPO2608743,ZRD260136-1,YS5908纹小圆孔三明治,"54"" 380g",舒缓绿088-46-07,全代,2,Y,12.5,,25,
787,2026-01-28 00:00:00,AH2601121,AHJPO2608743,ZRD260188-1,YS5908纹小圆孔三明治,"54"" 380g",乌贼棕028-46-12,全代,1,Y,12.5,,12.5,
788,2026-01-28 00:00:00,AH2601121,AHJPO2608743,ZRD260142-1,YS5908纹小圆孔三明治,"54"" 380g",新灰1 031-78-00,全代,1,Y,12.5,,12.5,
789,2026-01-28 00:00:00,AH2601121,AHJPO2608743,ZRD260187-1,YS5908纹小圆孔三明治,"54"" 380g",新灰1 031-78-00,全代,1,Y,12.5,,12.5,
790,2026-01-28 00:00:00,AH2601121,AHJPO2608743,ZRD260135-1,YS5908纹小圆孔三明治,"54"" 380g",亚麻色038-81-05,全代,3,Y,12.5,,37.5,
791,2026-01-28 00:00:00,AH2601122,AHJPO2608743,ZRD260064-1,CL24121 三明治网布,"54""430g",皇冠蓝Vector Blue-R,全代,2,Y,13.5,,27,
792,2026-01-28 00:00:00,AH2601122,AHJPO2608743,ZRD260073-1,CL24121 三明治网布,"54""430g",皇冠蓝Vector Blue-R,全代,2,Y,13.5,,27,
793,2026-01-28 00:00:00,AH2601122,AHJPO2608743,ZRD260065-1,CL24121 三明治网布,"54""430g",灰色000-47-00,全代,2,Y,13.5,,27,
794,2026-01-28 00:00:00,AH2601122,AHJPO2608743,ZRD260065-1open,CL24121 三明治网布,"54""430g",灰色000-47-00,全代,1,Y,13.5,,13.5,
795,2026-01-28 00:00:00,AH2601122,AHJPO2608743,ZRD260074-1,CL24121 三明治网布,"54""430g",灰色000-47-00,全代,2,Y,13.5,,27,
796,2026-01-28 00:00:00,AH2601122,AHJPO2608743,ZRD260074-1open,CL24121 三明治网布,"54""430g",灰色000-47-00,全代,1,Y,13.5,,13.5,
797,2026-01-28 00:00:00,AH2601122,AHJPO2608743,ZRD260082-1,CL24121 三明治网布,"54""430g",灰色000-47-00,全代,1,Y,13.5,,13.5,
798,2026-01-28 00:00:00,AH2601122,AHJPO2608743,ZRD260088-1,CL24121 三明治网布,"54""430g",激扬蓝125-28-38,全代,4,Y,13.5,,54,
799,2026-01-28 00:00:00,AH2601122,AHJPO2608743,ZRD260088-1open,CL24121 三明治网布,"54""430g",激扬蓝125-28-38,全代,1,Y,13.5,,13.5,
800,2026-01-28 00:00:00,AH2601122,AHJPO2608743,ZRD260094-1,CL24121 三明治网布,"54""430g",激扬蓝125-28-38,全代,3,Y,13.5,,40.5,
801,2026-01-28 00:00:00,AH2601122,AHJPO2608743,ZRD260094-1open,CL24121 三明治网布,"54""430g",激扬蓝125-28-38,全代,1,Y,13.5,,13.5,
802,2026-01-28 00:00:00,AH2601123,AHJPO2608743,ZRD260065-1,CL24100三明治网布,"54"" 400g",复位红13-43-37,全代,1,Y,16.5,,16.5,
803,2026-01-28 00:00:00,AH2601123,AHJPO2608743,ZRD260065-1open,CL24100三明治网布,"54"" 400g",复位红13-43-37,全代,1,Y,16.5,,16.5,
804,2026-01-28 00:00:00,AH2601123,AHJPO2608743,ZRD260074-1,CL24100三明治网布,"54"" 400g",复位红13-43-37,全代,1,Y,16.5,,16.5,
805,2026-01-28 00:00:00,AH2601123,AHJPO2608743,ZRD260074-1open,CL24100三明治网布,"54"" 400g",复位红13-43-37,全代,1,Y,16.5,,16.5,
806,2026-01-28 00:00:00,AH2601123,AHJPO2608743,ZRD260082-1,CL24100三明治网布,"54"" 400g",复位红13-43-37,全代,1,Y,16.5,,16.5,
807,2026-01-28 00:00:00,AH2601123,AHJPO2608743,ZRD260094-1,CL24100三明治网布,"54"" 400g",泵橙018-51-37,全代,2,Y,16.5,,33,
808,2026-01-28 00:00:00,AH2601123,AHJPO2608743,ZRD260088-1,CL24100三明治网布,"54"" 400g",泵橙018-51-37,全代,2,Y,16.5,,33,
809,2026-01-28 00:00:00,AH2601123,AHJPO2608743,ZRD260088-1open,CL24100三明治网布,"54"" 400g",泵橙018-51-37,全代,1,Y,16.5,,16.5,
810,2026-01-28 00:00:00,AH2601123,AHJPO2608743,ZRD260064-1,CL24100三明治网布,"54"" 400g",皇冠蓝Vector Blue-R,全代,1,Y,16.5,,16.5,
811,2026-01-28 00:00:00,AH2601123,AHJPO2608743,ZRD260073-1,CL24100三明治网布,"54"" 400g",皇冠蓝Vector Blue-R,全代,1,Y,16.5,,16.5,
812,2026-01-28 00:00:00,AH2601124,AHJPO2608743,ZRD260068-1,CL24100三明治网布,"54"" 400g",霉粉紫138-80-12,全代,1,Y,16.5,,16.5,
813,2026-01-28 00:00:00,AH2601124,AHJPO2608743,ZRD260078-1,CL24100三明治网布,"54"" 400g",霉粉紫138-80-12,全代,1,Y,16.5,,16.5,
814,2026-01-28 00:00:00,AH2601124,AHJPO2608743,ZRD260155-1,K106/DJT 1834纹 单层网布,"54""",平和灰053-57-03,全代,2,Y,4.3,,8.6,
815,2026-01-28 00:00:00,AH2601124,AHJPO2608743,ZRD260054-1,K106/DJT 1834纹 单层网布,"54""",新灰1 031-78-00,全代,1,Y,4.3,,4.3,
816,2026-01-28 00:00:00,AH2601124,AHJPO2608743,ZRD260188-1,YS571 单层网布,"54""530g",乌贼棕028-46-12,全代,2,Y,16,,32,
817,2026-01-28 00:00:00,AH2601124,AHJPO2608743,ZRD260142-1,YS571 单层网布,"54""530g",新灰1 031-78-00,全代,2,Y,16,,32,
818,2026-01-28 00:00:00,AH2601124,AHJPO2608743,ZRD260187-1,YS571 单层网布,"54""530g",新灰1 031-78-00,全代,1,Y,16,,16,
819,2026-01-28 00:00:00,AH2601124,AHJPO2608743,ZRD260135-1,YS571 单层网布,"54""530g",亚麻色038-81-05,全代,4,Y,16,,64,
820,2026-01-29 00:00:00,AH2601125,AHJPO2608681,Z26139-3,DJ132  POLYPAG单层网布,"240g  54""",淡可可014-47-06,全代,167,Y,6,,1002,
821,2026-01-29 00:00:00,AH2601125,AHJPO2602163,Z26282-1,LY-YG1190 网布,"54 """,蓝色126-50-07,全代,155,Y,5.6,,868,
822,2026-01-29 00:00:00,AH2601125,AHJPO2602163,Z26283-1,LY-YG1190 网布,"54 """,蓝色126-50-07,全代,235,Y,5.6,,1316,
823,2026-01-29 00:00:00,AH2601125,AHJPO2608681,Z26283-2,LY-YG1190 网布,"54 """,蓝色126-50-07,全代,11,Y,5.6,,61.6,
824,2026-01-29 00:00:00,AH2601125,AHJPO2609804,Z25609-10,354纹单层网 耐黄,"280-290g  54""",白色109-98-01,全代,7,Y,9,,63,
825,2026-01-29 00:00:00,AH2601125,AHJPO2609804,Z25609-10,K106/DJT 1834纹 单层网布,"54 """,白色109-98-01,全代,17,Y,4.3,,73.1,
826,2026-01-29 00:00:00,AH2601126,AHJPO2604146,Z26287-1,"YS571 530g 网布 54""","54""530g",朦胧蓝126-50-07,全代,27,Y,16,,432,
827,2026-01-29 00:00:00,AH2601126,AHJPO2604146,Z26287-1open,"YS571 530g 网布 54""","54""530g",朦胧蓝126-50-07,全代,2,Y,16,,32,
828,2026-01-29 00:00:00,AH2601126,AHJPO2604146,Z26287-2,"YS571 530g 网布 54""","54""530g",朦胧蓝126-50-07,全代,10,Y,16,,160,
829,2026-01-29 00:00:00,AH2601126,AHJPO2604277,Z26287-4,"YS571 530g 网布 54""","54""530g",朦胧蓝126-50-07,全代,10,Y,16,,160,
830,2026-01-29 00:00:00,AH2601126,AHJPO2608681,Z26287-3,"YS571 530g 网布 54""","54""530g",朦胧蓝126-50-07,全代,10,Y,16,,160,
