泉州阳硕鞋材有限公司,,,,,,,,,,,,,,
2026年01月份请款明细（大货）,,,,,,,,,,,,,,
TO：福建安恒致远鞋业有限公司,,,,,,,,,,,,,,
ATTN：李小姐,,,CC：财务,,,,,,,,币别:人民币,,,
行号,"交货 
日期",货单号,订购单号,形体号,产品名称,规格型号,辅助属性,加工,数量,单位,含税 单价,小缸费,总金额,备注
143,2026-01-09 00:00:00,AH2601022,AHJPO2600614,Z26173-2,354纹 单层网耐黄,"280-290g  54""",白色109-98-01,全代,36,Y,9,,324,
144,2026-01-09 00:00:00,AH2601022,AHJPO2600614,Z26168-1,DJT1834纹 单层网布,"54 """,海盗黑155-31-00,全代,281,Y,4.3,,1208.3,
145,2026-01-09 00:00:00,AH2601022,AHJPO2600614,Z26168-1open,DJT1834纹 单层网布,"54 """,海盗黑155-31-00,全代,10,Y,4.3,,43,
146,2026-01-09 00:00:00,AH2601022,AHJPO2600614,Z26168-2,DJT1834纹 单层网布,"54 """,海盗黑155-31-00,全代,27,Y,4.3,,116.1,
147,2026-01-09 00:00:00,AH2601023,AHJPO2600614,Z26178-1open,DJT-1834 单层网布,"54 """,黑色,全代,9,Y,4.3,,38.7,
148,2026-01-09 00:00:00,AH2601023,AHJPO2600614,Z26178-2,DJT-1834 单层网布,"54 """,黑色,全代,27,Y,4.3,,116.1,
149,2026-01-09 00:00:00,AH2601023,AHJPO2600614,Z26178-1,DJT-1834 单层网布,"54 """,黑色,全代,166,Y,4.3,,713.8,
150,2026-01-09 00:00:00,AH2601023,AHJPO2600614,Z26152-1open,D027纹单层网布,"250-260g 54""",土色034-67-06,全代,2,Y,6.3,,12.6,
151,2026-01-09 00:00:00,AH2601023,AHJPO2600614,Z26152-1,D027纹单层网布,"250-260g 54""",土色034-67-06,全代,40,Y,6.3,,252,
152,2026-01-09 00:00:00,AH2601023,AHJPO2600614,Z26152-2,D027纹单层网布,"250-260g 54""",土色034-67-06,全代,31,Y,6.3,,195.3,
153,2026-01-09 00:00:00,AH2601024,AHJPO2600614,Z26096-2,YS5908小圆孔三明治网布,"380G*54""",橄榄绿044-36-10,全代,16,Y,12.5,,200,
154,2026-01-09 00:00:00,AH2601024,AHJPO2600614,Z26096-1,YS5908小圆孔三明治网布,"380G*54""",橄榄绿044-36-10,全代,30,Y,12.5,,375,
155,2026-01-09 00:00:00,AH2601024,AHJPO2600614,Z26163-1,YS5908小圆孔三明治网布,"380G*54""",橄榄绿044-36-10,全代,126,Y,12.5,,1575,
