泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费 牛津布1000Y以下开染费 帆布500Y以下开染费,,,
送 货 单,,,,,,,,,,,,,,
收货单位：安迪星（福建）体育用品有限责任公司,,,,,,NO.：,FLDH260202,,,,,,,
地址：福州市马尾区亭江镇万洋众创城A07栋,,,,,,送货日期：,2026-02-03 00:00:00,,,,,,,
采购单号,指令,型体,物料编号,刀模,材料名称,颜色,数量,单位,支数,,送货单号,送货日期,物流信息,
PA251227026,K250089,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,3.2,码,,0,FLDH260107,2026-01-12 00:00:00,,
PA251227026,K250089,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,0.4,码,,预补数,FLDH260108,2026-01-12 00:00:00,,
PA251227026,K250090,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,1.4,码,,0,FLDH260108,2026-01-12 00:00:00,,
PA251227026,K250090,342B5EW-A02,C0501825,AS26009M,"DJ132单层网布240g 54""",109-98-01白,0.2,码,,预补数,FLDH260108,2026-01-12 00:00:00,,
PA251230004,K250099,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,1.3,码,,0,FLDH260108,2026-01-12 00:00:00,,
PA251230004,K250099,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,0.2,码,,预补数,FLDH260108,2026-01-12 00:00:00,,
PA251230004,K250100,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,2.7,码,,0,FLDH260108,2026-01-12 00:00:00,,
PA251230004,K250100,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,0.2,码,,预补数,FLDH260108,2026-01-12 00:00:00,,
PA251230004,K250101,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,0.5,码,,0,FLDH260108,2026-01-12 00:00:00,,
PA251230004,K250101,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,0.2,码,,预补数,FLDH260108,2026-01-12 00:00:00,,
PA251230004,K250102,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,10.6,码,,0,FLDH260108,2026-01-12 00:00:00,,
PA251230004,K250102,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,0.4,码,,预补数,FLDH260109,2026-01-12 00:00:00,,
PA251230004,K250103,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,17.9,码,,0,FLDH260109,2026-01-12 00:00:00,,
PA251230004,K250103,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,0.3,码,,预补数,FLDH260109,2026-01-12 00:00:00,,
PA251230004,K250104,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,24.5,码,,0,FLDH260109,2026-01-12 00:00:00,,
PA251230004,K250104,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,0.4,码,,预补数,FLDH260109,2026-01-12 00:00:00,,
PA251230004,K250109,382K77W-A02,C0501825,AS26002M,"DJ132单层网布240g 54""",109-98-01白,1.4,码,,0,FLDH260109,2026-01-12 00:00:00,,
PA251230004,K250109,382K77W-A02,C0501825,AS26002M,"DJ132单层网布240g 54""",109-98-01白,0.2,码,,预补数,FLDH260109,2026-01-12 00:00:00,,
PA251230004,K250110,382K77W-A02,C0501825,AS26002M,"DJ132单层网布240g 54""",109-98-01白,3.1,码,,0,FLDH260109,2026-01-12 00:00:00,,
PA251230004,K250110,382K77W-A02,C0501825,AS26002M,"DJ132单层网布240g 54""",109-98-01白,0.4,码,,预补数,FLDH260109,2026-01-12 00:00:00,,
PA251230004,K250111,382K77W-A02,C0501825,AS26002M,"DJ132单层网布240g 54""",109-98-01白,18.8,码,,0,FLDH260109,2026-01-12 00:00:00,,
PA251230004,K250111,382K77W-A02,C0501825,AS26002M,"DJ132单层网布240g 54""",109-98-01白,0.4,码,,预补数,FLDH260110,2026-01-12 00:00:00,,
PA251230004,K250112,382K77W-A02,C0501825,AS26002M,"DJ132单层网布240g 54""",109-98-01白,21.2,码,,0,FLDH260110,2026-01-12 00:00:00,,
PA251230004,K250112,382K77W-A02,C0501825,AS26002M,"DJ132单层网布240g 54""",109-98-01白,0.3,码,,预补数,FLDH260110,2026-01-12 00:00:00,,
PA251230005,K250092,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,0.1,码,,0,FLDH260110,2026-01-12 00:00:00,,
PA251230005,K250092,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,0.1,码,,预补数,FLDH260110,2026-01-12 00:00:00,,
PA251230005,PPS0034,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,0.3,码,,0,FLDH260110,2026-01-12 00:00:00,,
PA251230005,PPS0036,382K77W-A02,C0501825,AS26002M,"DJ132单层网布240g 54""",109-98-01白,0.5,码,,0,FLDH260110,2026-01-12 00:00:00,,
PA260106024,K260003,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,4.7,码,,0,FLDH260110,2026-01-12 00:00:00,,
PA260106024,K260003,382J5LW-A02,C0501825,AS26001M,"DJ132单层网布240g 54""",109-98-01白,0.3,码,2,预补数,FLDH260110,2026-01-12 00:00:00,100+62=162,
PA251227027,PPS0008,372B5RW-A1B,C0300122,AS26011K,"600D尼龙牛津布上防脱纱 58""",109-98-01白色,1,码,1,0,FLDH260111,2026-01-12 00:00:00,,
PA251227026,K250010,372B5RW-A1B,C0300122,AS26011K,"600D尼龙牛津布上防脱纱 58""",109-98-01白色,0.9,码,,0,FLDH260111,2026-01-12 00:00:00,,
PA251227026,K250010,372B5RW-A1B,C0300122,AS26011K,"600D尼龙牛津布上防脱纱 58""",109-98-01白色,0.1,码,,预补数,FLDH260111,2026-01-12 00:00:00,,
PA251227027,PPS0007,372B5RW-A0H,C0300134,AS26011K,"600D尼龙牛津布上防脱纱 58""",139-18-00黑色,1,码,1,0,FLDH260111,2026-01-12 00:00:00,,
PA251227026,K250009,372B5RW-A0H,C0300134,AS26011K,"600D尼龙牛津布上防脱纱 58""",139-18-00黑色,0.9,码,,0,FLDH260111,2026-01-12 00:00:00,,
PA251227026,K250009,372B5RW-A0H,C0300134,AS26011K,"600D尼龙牛津布上防脱纱 58""",139-18-00黑色,0.1,码,,预补数,FLDH260111,2026-01-12 00:00:00,,
PA251227027,PPS0014,342B5FW-A00,C0503935,AS26008M,"K328单层网布240g 54""",黑色19-4006TPG,0.2,码,,0,FLDH260112,2026-01-12 00:00:00,,
PA251227027,PPS0015,382M31W-A00,C0503935,AS26004M,"K328单层网布240g 54""",黑色19-4006TPG,0.2,码,,0,FLDH260112,2026-01-12 00:00:00,,
