泉州阳硕鞋材有限公司,,,,,,,,,,,300码以下记得开小缸费 牛津布1000Y以下开染费 帆布500Y以下开染费，丝光布白度每次问下要哪个白,,,,,,,,,,,,丝光
送  货  单,,,,,,,,,,,,,,,,,,,,,,,
收货单位：莆田市星联鞋业有限公司,,,,,,,NO.：,XC2603010,,,,,,,,,,,,,,,
地址：福建省莆田市荔城区西天尾镇南少林路777号,,,,,,,送货日期：,2026-03-07 00:00:00,,,,,,,,,,,,,,,
订单号,指令号,料号,品     名,颜色,数量,单位,支数,单价,金额,备注,,,,,,,,,,,,,
4510245147,2X003471,WB11529,"210D尼龙牛津布58""",黑色,7,码,,,,,XC2512017,2025-12-25 00:00:00,,,,,,,,,,,
4510245147,3X000350M,WY000085,"210D牛津布54""",黑色,12,码,,,,,XC2512017,2025-12-25 00:00:00,,,,,,,,,,,
4510245231,3X000350M,WY000085,"210D牛津布54""",黑色,8,码,,,,,XC2512017,2025-12-25 00:00:00,,,,,,,,,,,
4510245231,3X000350M,WY000085,"210D牛津布54""",黑色,10,码,,,,,XC2512017,2025-12-25 00:00:00,,,,,,,,,,,
4510245027,2X003475,WJ000026,"180G佳积布58""",黑色,37,码,1,,,7.3公斤,XC2512018,2025-12-25 00:00:00,,,,,,,,,,,
4510245027,3X000350M,WJ000181,"180G佳积布59""",黑色,67,码,1,,,12.8公斤,XC2512018,2025-12-25 00:00:00,,,,,,,,,,,
4510245496,2X003484,WH000041,"12安帆布54""",棕色,260,码,3,,,,XC2512019,2025-12-29 00:00:00,,,,,,,,,,,
4510246224,2X003494M,WH000041,"12安帆布54""",棕色,2,码,,,,,XC2512019,2025-12-29 00:00:00,136+111+15=262,,,,,,,,,,
,,,小缸费,棕色,1,个,,,,,XC2512019,2025-12-29 00:00:00,,,,,,,,,,,
4510239540,2X003441,WD002118,"350G  拉毛四面弹54""",墨青蓝色,161,码,2,,,,XC2512019,2025-12-29 00:00:00,115+46=161  34.8+13.4=48.2，不同缸，请分批使用,,,,,,,,,,
,,,小缸费,墨青蓝色,1,个,,,,,XC2512019,2025-12-29 00:00:00,,,,,,,,,,,
4510246122,2X003489,WB10878,"210D牛津布54""",白色,22,码,1,,,,XC2512019,2025-12-29 00:00:00,,,,,,,,,,,
4510246243,1X001785,WB10689,"180G佳积布54""",黑色,586,码,5,,,,XC2512019,2025-12-29 00:00:00,45+143+140*2+118=586  重量：8.9+25.1+25*2+19.5=103.5,,,,,,,,,,
4510246243,1X001786,WB10687,"180G佳积布54""",白色,563,码,4,,,,XC2512020,2025-12-29 00:00:00,134+143*3=563 重量：22.8+24.7*3,,,,,,,,,,
4510246243,2X003488,WJ000529,"150G佳积布58""",白色,8,码,1,,,5.8公斤,XC2512020,2025-12-29 00:00:00,,,,,,,,,,,
4510246243,2X003491M,WJ000529,"150G佳积布58""",白色,7,码,,,,,XC2512020,2025-12-29 00:00:00,,,,,,,,,,,
4510246376,3X000345M,WJ000529,"150G佳积布58""",白色,15,码,,,,,XC2512020,2025-12-29 00:00:00,,,,,,,,,,,
4510245027,3X000350M,WJ000300,"150G佳积布54""",黑色,282,码,2,,,,XC2512020,2025-12-29 00:00:00,150+132=282 重量24.6+22,,,,,,,,,,
4510246243,2X003485,WJ000530,"150G佳积布58""",黑色,26,码,1,,,6公斤,XC2512020,2025-12-29 00:00:00,,,,,,,,,,,
4510246243,2X003492M,WJ000530,"150G佳积布58""",黑色,7,码,,,,,XC2512020,2025-12-29 00:00:00,,,,,,,,,,,
4510245027,3X000353C,WD003789,"230G BK网布54""",TAN棕色,524,码,6,,,,XC2601001,2026-01-03 00:00:00,96*4+70*2=524 重量 25.9+25.5+25+25.8+18.2+18.4,,,,,,,,,,
4510245027,3X000353C,WD003789,"230G BK网布54""",TAN棕色,25,码,1,,,,XC2601002,2026-01-09 00:00:00,,,,,,,,,,,
4510246829,2X003484,WH000041,"12安帆布54""",棕色,25,码,2,,,,XC2601002,2026-01-09 00:00:00,18+9=27,,,,,,,,,,
,,,小缸费,棕色,1,个,,,,,XC2601002,2026-01-09 00:00:00,,,,,,,,,,,
4510245611,2X003484,WD004249,"220G 鸡皮绒54""",浅棕色,260,码,2,,,,XC2601002,2026-01-09 00:00:00,176+90=269（多9Y)重量43.4+25.1,,,,,,,,,,
4510248326,2X003499,WB7416,"3U180G天鹅绒54""",黑色,1158,码,10,,,,XC2601002,2026-01-09 00:00:00,120*9+78=1158 重量：21.4+21+21.1+20.6+20.8*2+20.5*3+14.2,,,,,,,,,,
4510248874,3X000368M,WS001431,"320G YSD137加厚内里布54""",白色,129,码,2,,,,XC2601002,2026-01-09 00:00:00,75+54=129  重量24+17.7,,,,,,,,,,
4510248836,3X000375M,WB10878,"210D牛津布54""",白色,2,码,1,,,,XC2601003,2026-01-10 00:00:00,,,,,,,,,,,
4510249237,2X003513,WB10878,"210D牛津布54""",白色,5,码,,,,,XC2601003,2026-01-10 00:00:00,,,,,,,,,,,
4510249237,2X003516,WB11529,"210D尼龙牛津布58""",黑色,2,码,1,,,,XC2601003,2026-01-10 00:00:00,,,,,,,,,,,
4510248326,2X003499,WB13223,"380G K666单层网布54""",黑色,65,码,1,,,,XC2601003,2026-01-10 00:00:00,,,,,,,,,,,
4510248874,3X000375M,WB13220,"180G K209网布54""",白色,98,码,1,,,17.3公斤,XC2601003,2026-01-10 00:00:00,,,,,,,,,,,
4510249237,2X003505,WB12252,"10安帆布54""",棕色,551,码,4,,,,XC2601004,2026-01-11 00:00:00,,,,,,,,,,,
4510249237,2X003506,WB16877,"8安帆布54""",棕色,66,码,,,,,XC2601004,2026-01-11 00:00:00,164*3+125=617,,,,,,,,,,
4510248326,2X003499,WB13223,"380G K666单层网布54""",黑色,697,码,12,,,,XC2601004,2026-01-11 00:00:00,60*11+37=697重量：23.5*11+14.7,,,,,,,,,,
4510249155,2X003508,WJ000028,"180G佳积布58""",深灰,68,码,1,,,12.6公斤,XC2601004,2026-01-11 00:00:00,,,,,,,,,,,
4510246243,1X001786,WD003772,"220G  TANGO SUEDE弹力超纤布54""",08-BEIGE米色,561,码,3,,,,XC2601005,2026-01-12 00:00:00,224+211+128=563重量：44.8+47.8+26.9,,,,,,,,,,
4510249237,2X003510,WB6769,"300G 提花天鹅绒54""",白色,201,码,2,,,,XC2601006,2026-01-13 00:00:00,97+104=201  重量：29+32.7,,,,,,,,,,
4510249429,3X000378M,WD001386,"250G低弹平布54""",白色11-0601TPG,11,码,1,,,,XC2601006,2026-01-13 00:00:00,,,,,,,,,,,
4510249429,3X000379M,WD001387,"250G低弹平布54""",黑色,1,码,1,,,,XC2601006,2026-01-13 00:00:00,,,,,,,,,,,
4510249429,3X000378M,WD001865,"300G 天鹅绒54""",白色,151,码,2,,,,XC2601006,2026-01-13 00:00:00,100+51=151 重量27.8+15.2,,,,,,,,,,
